,name,product_link,price,image_link,image_name
44," PHILIPS 241V8 24"" IPS FHD Monitor",https://www.startech.com.bd/philips-241v8-24-inch-monitor,"
19,700৳ 20,500৳
",https://www.startech.com.bd/image/cache/catalog/monitor/philips/241v8/221v8-01-228x228.jpg,"PHILIPS 241V8 24"" IPS FHD Monitor"
45," HP E22 G4 21.5"" FHD IPS Monitor",https://www.startech.com.bd/hp-e22-g4-monitor,"
20,650৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/e22-g4/e22-g4-1-228x228.jpg,"HP E22 G4 21.5"" FHD IPS Monitor"
46," HP M24f 24"" FHD IPS Monitor",https://www.startech.com.bd/hp-m24f-24-inch-monitor,"
21,100৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/m24f/m24f-228x228.jpg,"HP M24f 24"" FHD IPS Monitor"
47," Asus VY249HE 24"" FHD IPS Eye Care Monitor",https://www.startech.com.bd/asus-vy249he-24-inch-monitor,"
21,200৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/vy249he/vy249he-01-228x228.jpg,"Asus VY249HE 24"" FHD IPS Eye Care Monitor"
48, Asus VA24EHE 23.8 Inch 75Hz Full HD Monitor,https://www.startech.com.bd/asus-va24ehe-full-hd-monitor,"
22,150৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/va24ehe/va24ehe-1-228x228.jpg,Asus VA24EHE 23.8 Inch 75Hz Full HD Monitor
49, Dell S2421HN 24'' IPS AMD FreeSync Full HD Monitor,https://www.startech.com.bd/dell-s2421hn-full-hd-monitor,"
21,500৳ 22,500৳
",https://www.startech.com.bd/image/cache/catalog/monitor/dell/s2421hn/s2421hn-1-228x228.jpg,Dell S2421HN 24'' IPS AMD FreeSync Full HD Monitor
50, ViewSonic VA2432-h 24” 75Hz Full HD IPS Monitor,https://www.startech.com.bd/viewsonic-va2432-h-24-monitor,"
22,800৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/va2432-h/va2432-h-228x228.jpg,ViewSonic VA2432-h 24” 75Hz Full HD IPS Monitor
51," Philips 246E9QJAB/00 24"" Full HD IPS Freesync Monitor",https://www.startech.com.bd/philips-246e9qjab-00-24-monitor,"
22,200৳ 23,000৳
",https://www.startech.com.bd/image/cache/catalog/monitor/philips/246e9qjab-00/246e9qjab-00-228x228.jpg,"Philips 246E9QJAB/00 24"" Full HD IPS Freesync Monitor"
52," ASUS MB168B 15.6"" HD Portable USB Monitor",https://www.startech.com.bd/asus-mb168b-portable-usb-monitor,"
23,000৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/mb168b/mb168b-01-228x228.jpg,"ASUS MB168B 15.6"" HD Portable USB Monitor"
53," HP E23 G4 23"" FHD IPS Monitor",https://www.startech.com.bd/hp-e23-g4-fhd-monitor,"
23,300৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/e23-g4/e23-g4-001-228x228.jpg,"HP E23 G4 23"" FHD IPS Monitor"
54," LG 27MP400-B 27"" FreeSync Full HD IPS Monitor",https://www.startech.com.bd/lg-27mp400-b-27-inch-monitor,"
23,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/27mp400-b/27mp400-b-228x228.jpg,"LG 27MP400-B 27"" FreeSync Full HD IPS Monitor"
55, MSI Optix G24C4 23.6 Inch FHD Curved LED Gaming Monitor With 144Hz Refresh Rate,https://www.startech.com.bd/msi-optix-g24c4-gaming-monitor,"
24,000৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/msi/optix-g24c4/optix-g24c4-228x228.jpg,MSI Optix G24C4 23.6 Inch FHD Curved LED Gaming Monitor With 144Hz Refresh Rate
56," BenQ Zowie XL2411K 24"" 144Hz DyAC e-Sports Gaming Monitor",https://www.startech.com.bd/benq-zowie-xl2411k-24-inch-gaming-monitor,"
24,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/benq/xl2411k/zowie-xl2411k-228x228.jpg,"BenQ Zowie XL2411K 24"" 144Hz DyAC e-Sports Gaming Monitor"
57," MSI Optix G241 23.8"" 144Hz 1ms FreeSync Full HD Gaming Monitor",https://www.startech.com.bd/msi-optix-g241-24-monitor,"
24,000৳ 25,000৳
",https://www.startech.com.bd/image/cache/catalog/monitor/msi/optix-g241-24/optix-g241-24-228x228.jpg,"MSI Optix G241 23.8"" 144Hz 1ms FreeSync Full HD Gaming Monitor"
58," LG 24GN600-B 23.8"" UltraGear Full HD IPS 144Hz Gaming Monitor",https://www.startech.com.bd/lg-24gn600-b-gaming-monitor,"
25,000৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/24gn600-b/24gn600-b-01-228x228.jpg,"LG 24GN600-B 23.8"" UltraGear Full HD IPS 144Hz Gaming Monitor"
59, Msi Optix MAG241C 23.6 Inch FHD Curved LED Gaming Monitor With 144Hz Refresh Rate,https://www.startech.com.bd/msi-optix-mag241c-fhd-led-monitor,"
25,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/msi/mag241c/mag241c-228x228.jpg,Msi Optix MAG241C 23.6 Inch FHD Curved LED Gaming Monitor With 144Hz Refresh Rate
60, BenQ GW2480T 24 inch Full HD Eye-Care Stylish IPS Monitor,https://www.startech.com.bd/benq-gw2480t-eye-care-stylish-ips-monitor,"
25,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/benq/gw2480t/gw2480t-01-228x228.jpg,BenQ GW2480T 24 inch Full HD Eye-Care Stylish IPS Monitor
